Hong Kong,1932,31595,78052,1861445
Tokyo,1377,2188,8529,1913400
Seoul,2776,61343,166622,1317298
Mumbai,5259,53174,78224,1822889
Singapore,1894,27462,88806,1840936
Sydney,28912,68006,192787,622988
Canada,1365,2109,3046,1911507
Frankfurt,1369,2104,3041,1907182
Stockholm,1382,2171,8024,1914361
Ireland,1370,2106,3017,1908362
Paris,1378,2131,3186,1910081
São Paulo,1440,253765,263361,115182
N. Virginia,1374,2113,3025,1910038
Ohio,1380,2120,3046,1908418
N. California,1416,2275,21667,1917022
Oregon,1403,2193,11252,1913854
